category,instance_token,x,y,z,width,length,height,visibility,num_lidar_pts,num_radar_pts
human.pedestrian.adult,6dd2cbf4c24b4caeb625035869bca7b5,373.256,1130.419,0.8,0.621,0.669,1.642,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,48d58b69b40149aeb2e64aa4b1a9192f,378.888,1153.348,0.865,0.775,0.769,1.711,visibility of whole object is between 40 and 60%,2,0
vehicle.car,bd26c2cdb22d4bb1834e808c89128898,353.794,1132.355,0.602,2.011,4.633,1.573,visibility of whole object is between 60 and 80%,5,0
human.pedestrian.adult,6e04e175f20d402f8cbbdf701fe99d92,376.13,1158.507,0.938,0.752,0.819,1.637,visibility of whole object is between 80 and 100%,1,0
movable_object.trafficcone,4a5a657f59914516bade8551072e5ab0,410.066,1196.767,0.656,0.427,0.359,0.794,visibility of whole object is between 80 and 100%,1,0
vehicle.bicycle,f4b2632a2f9947da9f7959a3bd0e322c,372.664,1129.247,0.672,0.689,1.77,1.709,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,c08be936e0394352b11760ede982d6fd,378.657,1151.026,0.833,0.661,0.703,1.839,visibility of whole object is between 40 and 60%,1,0
vehicle.car,085fb7c411914888907f7198e998a951,409.132,1201.516,1.01,1.837,4.32,1.631,visibility of whole object is between 80 and 100%,45,6
human.pedestrian.adult,bbd6c47a20e34276bc6f2cfbc6ba6205,396.335,1122.142,0.513,0.648,0.709,1.609,visibility of whole object is between 80 and 100%,1,0
movable_object.barrier,03e81d6b45c34d56bc1a886919722f7f,394.842,1158.711,0.487,1.977,0.703,1.149,visibility of whole object is between 80 and 100%,4,2
movable_object.barrier,3c7d5216d6bd4e1ba7a982c7274214b1,408.524,1190.723,0.733,1.91,0.555,1.055,visibility of whole object is between 80 and 100%,77,0
human.pedestrian.adult,91f0f127e46a49829700247cf534d9fd,417.399,1193.55,0.994,1.019,0.915,1.67,visibility of whole object is between 80 and 100%,7,3
human.pedestrian.adult,3843d35144d84c02b387678f9bc7f2ed,423.6,1167.637,1.109,0.934,0.891,1.835,visibility of whole object is between 40 and 60%,6,0
human.pedestrian.adult,f138c230c29a4cb3b7b50155babe4e90,356.068,1144.504,0.82,0.8,0.908,1.835,visibility of whole object is between 80 and 100%,1,0
human.pedestrian.adult,85d771dc8b2049fc9155b376a73b2121,431.605,1172.942,1.099,0.872,0.903,1.719,visibility of whole object is between 80 and 100%,8,0
movable_object.barrier,be2c3211bef04f5b8d422ced129735d3,394.05,1156.846,0.491,1.964,0.694,1.131,visibility of whole object is between 80 and 100%,2,1
vehicle.car,bc38961ca0ac4b14ab90e547ba79fbb6,393.357,1149.173,0.741,1.708,4.01,1.631,visibility of whole object is between 80 and 100%,4,2
human.pedestrian.adult,81714918a9f54bda9e2b52dd7ce362e5,371.763,1129.172,0.642,0.79,0.741,1.725,visibility of whole object is between 40 and 60%,1,0
vehicle.truck,e91afa15647c4c4994f19aeb302c7179,409.989,1164.099,1.623,2.877,10.201,3.595,visibility of whole object is between 80 and 100%,495,13
vehicle.car,56a71c208ac6472f90b6a82529a6ce61,392.077,1104.169,1.034,2.135,4.956,2.17,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,03d01c950f044575b69137f069345db0,391.361,1119.695,1.013,0.767,0.951,1.835,visibility of whole object is between 0 and 40%,1,0
movable_object.barrier,8705ebefeb7746468d837fb138a1a121,387.52,1143.568,0.508,1.967,0.704,0.962,visibility of whole object is between 80 and 100%,3,2
movable_object.barrier,16dc951205cb4f8299f5915313436d69,392.526,1153.183,0.47,2.06,0.759,1.1,visibility of whole object is between 80 and 100%,3,1
movable_object.barrier,038a951ededf4efeb34a4ab28508d9dc,396.227,1164.778,0.428,1.993,0.744,1.245,visibility of whole object is between 0 and 40%,2,1
movable_object.trafficcone,2ce122b054384340a99b146634f3c4da,401.269,1173.484,0.482,0.476,0.461,0.72,visibility of whole object is between 80 and 100%,8,0
movable_object.barrier,100427ca2fab4537b068582d5525495a,399.012,1167.878,0.547,1.969,0.716,1.092,visibility of whole object is between 80 and 100%,19,2
vehicle.bus.rigid,cfd5f1ab81ff4f81b8dbebf4955563d6,421.971,1233.295,2.351,2.909,6.908,3.558,visibility of whole object is between 40 and 60%,3,2
human.pedestrian.adult,4c8ffcdaddb44fc0b4d42faeae50f083,438.348,1171.033,1.096,0.803,0.87,1.78,visibility of whole object is between 80 and 100%,5,0
human.pedestrian.adult,d16b36f8fa1045779f71dd1bbe0c0dbb,382.736,1209.839,1.88,0.842,0.884,1.749,visibility of whole object is between 80 and 100%,3,0
movable_object.barrier,3b54d4dd46f24f91a36799f2d0ed801e,386.807,1141.706,0.542,1.99,0.726,0.921,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,221dd725c6654412a04c71ced8ad6d03,410.519,1166.187,2.295,0.708,0.863,1.616,visibility of whole object is between 0 and 40%,0,0
human.pedestrian.adult,37f12d00c86d4b5689326f7b98189b81,379.731,1153.227,0.83,0.734,0.775,1.821,visibility of whole object is between 40 and 60%,2,0
movable_object.barrier,10b58854ec1f44a6b96785eb490d40e6,397.032,1166.701,0.466,2.069,0.712,1.088,visibility of whole object is between 0 and 40%,5,0
human.pedestrian.adult,1610b41e5fdc4a3f939033ca8d4fc700,377.041,1147.53,0.78,0.733,0.746,1.695,visibility of whole object is between 60 and 80%,3,0
human.pedestrian.adult,59cfdb95669549b580058fc56d27b132,417.931,1194.143,0.944,0.913,0.873,1.697,visibility of whole object is between 60 and 80%,14,1
movable_object.barrier,2f5921c1c2ed4d6194ab1bfe9e538a8e,390.073,1149.573,0.41,2.05,0.693,1.081,visibility of whole object is between 0 and 40%,2,0
vehicle.car,85246a44cc6340509e3882e2ff088391,394.039,1143.246,0.615,1.847,4.115,1.526,visibility of whole object is between 80 and 100%,5,1
movable_object.barrier,c0741f8b4da3440e9686de5eb7363668,391.734,1151.279,0.502,1.977,0.764,1.144,visibility of whole object is between 80 and 100%,5,0
movable_object.barrier,01c083253f30417dbe374f84e8ba6c19,386.07,1139.83,0.531,1.842,0.677,0.885,visibility of whole object is between 40 and 60%,1,0
human.pedestrian.adult,00cfe5312e5e469bb97d7b64245a98e3,401.282,1193.478,0.862,0.793,1.0,1.604,visibility of whole object is between 80 and 100%,4,0
vehicle.car,42641eb6adcb4f8f8def8ef129d9e843,360.932,1129.086,0.585,1.939,4.819,1.736,visibility of whole object is between 60 and 80%,2,0
movable_object.barrier,05739869b03543b4ae5e7b2b6ed47e6d,400.519,1171.691,0.594,2.073,0.633,1.078,visibility of whole object is between 80 and 100%,50,0
movable_object.barrier,7c80918c0074444c87801c6123fbed80,395.651,1160.538,0.51,1.945,0.649,1.11,visibility of whole object is between 80 and 100%,4,0
vehicle.construction,e3c5b72c12c34c85aac247734ad83bef,398.565,1110.043,1.788,3.016,3.992,2.916,visibility of whole object is between 0 and 40%,4,0
movable_object.barrier,9f6aafa40e69441483fb49b46070f22c,398.222,1166.03,0.56,1.964,0.72,1.104,visibility of whole object is between 80 and 100%,13,0
vehicle.car,4080c30aa7104d91ad005a50b18f6108,351.068,1126.367,0.62,1.972,4.698,1.581,visibility of whole object is between 40 and 60%,2,0
human.pedestrian.adult,b4db946778484c2195efa320571f53dc,390.311,1121.642,0.818,0.759,0.837,1.916,visibility of whole object is between 80 and 100%,0,0
human.pedestrian.adult,58ce00fe2eb547acaa7f792ff2b11742,376.24,1148.028,0.606,0.739,0.771,1.766,visibility of whole object is between 0 and 40%,2,0
human.pedestrian.adult,cf04a584e9d54f44a9000e98cda623de,389.614,1116.036,0.953,0.694,0.902,1.807,visibility of whole object is between 0 and 40%,1,0
movable_object.trafficcone,62bfd58b7fc145e6b3c4f30552f7253f,409.019,1191.781,0.642,0.336,0.332,0.693,visibility of whole object is between 60 and 80%,4,0
human.pedestrian.adult,da622cff51e24d318855473f432f63bc,378.594,1151.795,0.783,0.751,0.807,1.706,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,e2f67391cb914b0cbdda3995dbc397f8,388.957,1123.644,0.707,0.777,0.958,1.757,visibility of whole object is between 80 and 100%,0,0
vehicle.truck,a60047adc78a4b6895702e86b6d2fe88,388.978,1139.303,0.98,1.787,4.535,2.059,visibility of whole object is between 60 and 80%,7,0
human.pedestrian.adult,d7e840afc77247278b0b6346c07921e5,419.296,1191.476,1.11,0.942,1.04,1.937,visibility of whole object is between 80 and 100%,12,0
human.pedestrian.adult,7ba3f4fee7b44e85986fe47846a67cf5,369.841,1128.747,0.743,0.687,0.716,1.73,visibility of whole object is between 60 and 80%,1,0
human.pedestrian.adult,ac2622bcaa704aa4993efdfde06a4235,389.455,1221.754,1.957,0.9,0.956,1.827,visibility of whole object is between 80 and 100%,2,0
human.pedestrian.adult,95fc384cb4994ffe9a5caf914274ab22,390.721,1120.16,0.88,0.728,0.858,2.0,visibility of whole object is between 80 and 100%,1,0
human.pedestrian.adult,d7f9aa76f8164fd7b043da901503ef16,385.93,1201.138,1.613,0.767,0.872,1.809,visibility of whole object is between 80 and 100%,5,0
human.pedestrian.adult,0e79e7bed1d543c9a00acfbf90ff60b3,407.576,1163.308,0.729,0.634,0.618,1.752,visibility of whole object is between 80 and 100%,13,0
movable_object.pushable_pullable,e900050c5fe14d77a62da9ab6107abf1,407.887,1163.323,0.511,0.599,0.835,1.265,visibility of whole object is between 80 and 100%,10,1
movable_object.barrier,963c99d31d0447acb45808d3452af0e8,407.962,1190.975,0.711,1.908,0.579,1.051,visibility of whole object is between 0 and 40%,20,0
movable_object.barrier,b77d6bc70844489da846d3a938a48e80,390.829,1151.462,0.412,2.042,0.714,1.073,visibility of whole object is between 0 and 40%,1,0
human.pedestrian.adult,3d03622178a2438fa9ed419f2e209ec0,417.374,1192.132,0.961,0.971,0.937,1.568,visibility of whole object is between 80 and 100%,10,1
movable_object.barrier,02e0a30df9e14eb7a4e9f9607e16a799,399.285,1171.936,0.558,2.126,0.716,1.031,visibility of whole object is between 60 and 80%,32,0
movable_object.barrier,28a722d057f24c1989f539d7d4f32fca,397.389,1164.192,0.54,2.037,0.731,1.1,visibility of whole object is between 80 and 100%,9,0
vehicle.car,c1958768d48640948f6053d04cffd35b,399.863,1143.574,0.738,1.907,4.727,1.957,visibility of whole object is between 80 and 100%,15,1
movable_object.barrier,91b65783daac459aa0bc1abb4887afe7,396.535,1162.355,0.498,2.034,0.683,1.127,visibility of whole object is between 80 and 100%,6,0
movable_object.barrier,808a988e37a64f3c9d7961826acd1e7e,393.298,1155.018,0.485,1.908,0.721,1.106,visibility of whole object is between 80 and 100%,2,1
movable_object.barrier,5ae085634a294735ada287659b488378,399.773,1169.799,0.536,1.99,0.651,1.107,visibility of whole object is between 80 and 100%,27,2
